Classifier,CV_Folds,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AUC_ROC_Mean,AUC_ROC_Std,MCC_Mean,MCC_Std,Top_Feature_1,Top_Feature_2,Top_Feature_3,True_Negative,False_Positive,False_Negative,True_Positive,Selected_Features_Count
Random Forest (All),100,0.8992501797876389,0.017957096611687547,0.8991819557309794,0.018177795378826765,0.8999303894977632,0.023140073580506328,0.8990811476105595,0.026450076133407847,0.9640221212451925,0.009190679287803101,0.7990655397137822,0.03581442813106193,acidic_group,non-polar_group,X5_K,13842,1548,1553,13837,
Logistic Regression (All),100,0.9205303735352597,0.014862759552696508,0.9224112931580382,0.013971066385343314,0.902557303146557,0.022722211732782927,0.943590527119939,0.015221345723681742,0.9581815453454109,0.012614906704283266,0.8423517738267126,0.029065681113269928,acidic_group,aliphatic_group,X5_P,13812,1578,868,14522,
SVM (All),100,0.9260239434832269,0.01652755645300798,0.9312784621252923,0.014356828685022792,0.8724263764344877,0.025155270265564616,0.999090909090909,0.0022531625419347184,0.9539726041931925,0.013151999710565916,0.8616448038683322,0.029220443352122007,aliphatic_index,instability_index,isoelectric_point,13127,2263,14,15376,
K-Neighbors (All),100,0.5005522653242523,0.001457983962711216,0.0021952241307080017,0.004850590332557061,0.17,0.375632799419859,0.00110474492827434,0.0024410560994420215,0.6827228687618299,0.018236986053906175,0.009707079088079638,0.02144884309062843,aliphatic_index,instability_index,isoelectric_point,15390,0,15373,17,
Decision Tree (All),100,0.8105225474850883,0.02367558738131134,0.8096822511847312,0.023166633262317726,0.8154388032022442,0.03764815907023899,0.8064345131992192,0.04053821864683271,0.8725207052517976,0.02242557617572378,0.6229934045396098,0.04709722183868225,X5_K,acidic_group,X5_P,12537,2853,2979,12411,
Naive Bayes (All),100,0.9003873894834808,0.018018938725528007,0.9004185396571881,0.018017138937492568,0.9004007018421859,0.02276213502583142,0.9009646889058653,0.024653070196117184,0.9426807513639066,0.014427187682441878,0.8012501185680619,0.036051839220367185,aliphatic_index,instability_index,isoelectric_point,13848,1542,1524,13866,
Random Forest (MW - inCV),100,0.8909976098819749,0.017692790997566328,0.8905923900040716,0.017813615651650475,0.8942090325455249,0.022990071844601827,0.8875859434682964,0.02506464666018102,0.9553447274226496,0.010715132561958832,0.7825199237240164,0.035434602481068896,X5_P,non-polar_group,polar_group,13765,1625,1730,13660,
Random Forest (Wilcoxon - inCV),100,0.8886900884132154,0.017543184874808642,0.8882737051048902,0.017652408932248863,0.8919934730883738,0.023124641041234635,0.8851799507681861,0.024897267688242176,0.9520990958366817,0.011172535900278474,0.7779214151734647,0.035065516193932104,non-polar_group,X5_K,X5_Y,13731,1659,1767,13623,
Random Forest (Kruskal - inCV),100,0.8683866703329244,0.017146714502233942,0.8669809361551232,0.017397354461130665,0.8767762565444346,0.023751843792118015,0.8581567778626601,0.026375913483417557,0.9385824605324222,0.012467198717899456,0.7375512028705625,0.03418654409303405,hydrophobic_engleman,X5_K,acidic_group,13522,1868,2183,13207,
Random Forest (Chi-square - inCV),100,0.886189453868607,0.018773741293601664,0.8861221472803313,0.01877054473575489,0.8870685599095782,0.023908514384617715,0.885766064001358,0.02544915290395153,0.9523767702673357,0.011315447889063572,0.7728914147257976,0.0374230111218595,X5_R,X5_P,non-polar_group,13645,1745,1758,13632,
Random Forest (KS - inCV),100,0.8925902110918398,0.01734804266107226,0.891714111771327,0.017676377271495874,0.8993265477919427,0.02353750027365363,0.8849180884475003,0.026122724572720243,0.954835388700935,0.01014080669887063,0.7858643581281235,0.03457105509259062,tiny_group,X5_K,aliphatic_group,13855,1535,1771,13619,
Logistic Regression (MW - inCV),100,0.8421041499217395,0.02560491643009521,0.841885019852915,0.026370990787138882,0.8428187042185743,0.027143858988156782,0.8417108055343349,0.035646902958494854,0.9132031848552095,0.020949886992120553,0.6848070137126294,0.05104465807127148,X5_P,non-polar_group,polar_group,12966,2424,2436,12954,
Logistic Regression (Wilcoxon - inCV),100,0.8419393798384026,0.022193929413412965,0.8420237609006961,0.02253186182716732,0.8419171533466039,0.026640969952603052,0.8428800611153552,0.030384839046863843,0.9126905197340643,0.017577727283409367,0.6844818656495829,0.044237278535585386,non-polar_group,X5_K,X5_Y,12943,2447,2418,12972,
Logistic Regression (Kruskal - inCV),100,0.7402215618257965,0.019983902140955898,0.7287312885585373,0.02275326068625487,0.7624986805133599,0.023885003791035104,0.6986291486291486,0.032045379139699105,0.8108435247377187,0.016884093130748186,0.4825844763178659,0.039897570583351416,hydrophobic_engleman,X5_K,acidic_group,12032,3358,4638,10752,
Logistic Regression (Chi-square - inCV),100,0.829399720800372,0.01973149793945875,0.8296208555658446,0.019873431251415073,0.8291029072211922,0.025646874747527585,0.8309867583396995,0.028650491907710976,0.9025135618985888,0.016807182559842312,0.6594670674278684,0.03931336989364874,X5_R,X5_P,non-polar_group,12740,2650,2601,12789,
Logistic Regression (KS - inCV),100,0.7800526672025042,0.028386257894923963,0.7754706516223441,0.03199258607534743,0.7908272368276508,0.02675652305996003,0.7619230116288941,0.047269253619169296,0.8552644832037497,0.025515898166139847,0.561285165404281,0.056476720015352984,tiny_group,X5_K,aliphatic_group,12284,3106,3664,11726,
SVM (MW - inCV),100,0.8510386437666568,0.02649258113250982,0.8540365284361485,0.02563680658627737,0.8381295283584353,0.031176493744051483,0.8713424157541806,0.03107544440511752,0.9292133396058145,0.018391998923428993,0.7033070935122393,0.05259040844140181,X5_P,non-polar_group,polar_group,12785,2605,1980,13410,
SVM (Wilcoxon - inCV),100,0.8564938237658107,0.021749163644354974,0.8597227472185474,0.021060417744559953,0.841595694904273,0.027039769164967725,0.8793990323402089,0.027750928268946623,0.9312075381116633,0.015824741377904274,0.7143834223933748,0.043225178719147786,non-polar_group,X5_K,X5_Y,12829,2561,1856,13534,
SVM (Kruskal - inCV),100,0.7561078091289818,0.020503725461717942,0.748961571792379,0.023957772411803652,0.7712821723178018,0.02232104312779975,0.7289173245055599,0.03682272422244916,0.8378255930471361,0.018116242352192894,0.5135961656675936,0.04056631617595002,hydrophobic_engleman,X5_K,acidic_group,12055,3335,4172,11218,
SVM (Chi-square - inCV),100,0.8332008545200728,0.02139609747552841,0.8395494647998389,0.019787315451476484,0.8097691456546064,0.026509515296834256,0.8723843476784653,0.025933665249955818,0.919072798540904,0.015521725679162917,0.669105429603832,0.04212518828210366,X5_R,X5_P,non-polar_group,12220,3170,1964,13426,
SVM (KS - inCV),100,0.798796374635137,0.024309710027133936,0.8025814016282165,0.025296921157687592,0.7876057524761587,0.02540163106876399,0.8192271454036161,0.038965611366525085,0.8880934384773193,0.019969198799724277,0.5989554316812251,0.04890897830135318,tiny_group,X5_K,aliphatic_group,11979,3411,2782,12608,
K-Neighbors (MW - inCV),100,0.8101014213799229,0.022511612786975967,0.7888083378638621,0.027310985225280558,0.88769655264692,0.029040183403514285,0.7107843137254902,0.037019116903674605,0.9069198891677882,0.0173027551836268,0.6334299805301958,0.044098608396996905,X5_P,non-polar_group,polar_group,13996,1394,4451,10939,
K-Neighbors (Wilcoxon - inCV),100,0.8106209018994035,0.023099542396120748,0.789668447834072,0.027605019506967147,0.8872275071844613,0.02980886163938035,0.7124620151090738,0.0372055689503709,0.9059106493837205,0.016798082793211103,0.6341935982144801,0.0455275011015764,non-polar_group,X5_K,X5_Y,13986,1404,4425,10965,
K-Neighbors (Kruskal - inCV),100,0.7721898134438853,0.020460260231782396,0.7475235347207857,0.025798971699165653,0.8376295291077518,0.024767243000377394,0.6758925388337154,0.03631888345795125,0.8514520684306781,0.018529031046382802,0.5552864793234084,0.03995548625715744,hydrophobic_engleman,X5_K,acidic_group,13366,2024,4988,10402,
K-Neighbors (Chi-square - inCV),100,0.8067198274038664,0.02269671944300612,0.789335875015092,0.026911013777368584,0.8667711857683225,0.028879428314126997,0.7257193786605552,0.03792337959764734,0.9014688423578799,0.017754294689656953,0.6223472583555067,0.04472740989933465,X5_R,X5_P,non-polar_group,13662,1728,4221,11169,
K-Neighbors (KS - inCV),100,0.7908734506535806,0.022848010868179214,0.7639113367889715,0.02886699643943421,0.8756709259984834,0.02635163796301669,0.6784237331296155,0.03893200814351289,0.8905047597551418,0.015566071845823887,0.5975160572241497,0.04415102040206315,tiny_group,X5_K,aliphatic_group,13902,1488,4949,10441,
Decision Tree (MW - inCV),100,0.8053876009983502,0.022884700986920373,0.8097085120840356,0.02361735224465901,0.7929832887156095,0.03157245048133484,0.8297487479840422,0.04651127445806765,0.8734889010700698,0.02098542844678908,0.6135102268253662,0.045764226466647004,X5_P,non-polar_group,polar_group,12020,3370,2620,12770,
Decision Tree (Wilcoxon - inCV),100,0.8020411184906299,0.02190350041193944,0.8046102405466853,0.022821016108022237,0.7957212100877736,0.03435679708401364,0.8166840675664204,0.046132892116801195,0.8699317564491362,0.020584101504759974,0.6065050710156827,0.04316437750845971,non-polar_group,X5_K,X5_Y,12118,3272,2821,12569,
Decision Tree (Kruskal - inCV),100,0.7864154575066625,0.019776087665078997,0.7870301910837361,0.021049383275473843,0.7877293762113575,0.04258123072092123,0.7914990238519651,0.05574655396527658,0.8636720859142554,0.019723144207466032,0.5765430096024263,0.03990458426797729,hydrophobic_engleman,X5_K,acidic_group,12025,3365,3209,12181,
Decision Tree (Chi-square - inCV),100,0.799148758407716,0.02450450622430499,0.8045205392943514,0.02430546759401478,0.7845257592020107,0.031511198334514864,0.8276046176046176,0.04230611761472685,0.8676118491473723,0.021594014791329927,0.6008593543245558,0.04893308809853148,X5_R,X5_P,non-polar_group,11861,3529,2653,12737,
Decision Tree (KS - inCV),100,0.7922629975887305,0.02567352445558896,0.7906480196106008,0.030547539085151666,0.797701283709345,0.039167539508603334,0.7892729819200406,0.06824802706264273,0.8736044748477902,0.021281725494988434,0.5886669396116118,0.05040295873745647,tiny_group,X5_K,aliphatic_group,12239,3151,3243,12147,
Naive Bayes (MW - inCV),100,0.7311825796353483,0.026290298179338104,0.7309661038013947,0.02837850063173758,0.7313972595253514,0.026707360144326613,0.7314404549698668,0.03926033758636276,0.8140255868187496,0.02163248447203298,0.4629259045165429,0.05252442431836463,peptide_len,hydrophobic_janin,hydrophobic_engleman,11249,4141,4133,11257,
Naive Bayes (Wilcoxon - inCV),100,0.7347886966453743,0.021341062580824112,0.7340328381903675,0.023625393611053525,0.7359951077836527,0.021957607612473246,0.7329326882268057,0.03525350081172263,0.8176098469690908,0.020401924128958204,0.4701091288851788,0.04255941584247614,peptide_len,hydrophobic_janin,hydrophobic_engleman,11337,4053,4110,11280,
Naive Bayes (Kruskal - inCV),100,0.6935638140361269,0.021097652724171193,0.6872341913224327,0.02330316061211627,0.7018955809144988,0.02391335019142839,0.6740089975384094,0.0328922184698264,0.7732285338377777,0.019701592035868208,0.3878735531636326,0.04227310048295926,peptide_len,hydrophobic_janin,hydrophobic_engleman,10975,4415,5017,10373,
Naive Bayes (Chi-square - inCV),100,0.7205258259655655,0.022344830649897535,0.7172672403644772,0.025164918552863576,0.7255076915523653,0.022942023257880053,0.7099940582293525,0.03582243899593665,0.809309059712039,0.019983306734963523,0.4416052804551995,0.04461178289851632,peptide_len,hydrophobic_janin,hydrophobic_engleman,11251,4139,4463,10927,
