Classifier,CV_Folds,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AUC_ROC_Mean,AUC_ROC_Std,MCC_Mean,MCC_Std,Top_Feature_1,Top_Feature_2,Top_Feature_3,True_Negative,False_Positive,False_Negative,True_Positive,Selected_Features_Count
Random Forest (All),100,0.8777534437884847,0.01016210216145686,0.9339710544686504,0.0054098978661483435,0.8801780289872119,0.007125219668494529,0.9948022239198709,0.00566452903637249,0.768235421748849,0.05317407302032239,0.23481082371316084,0.12527834905729188,hydrophobic_janin,hydrophobic_eisenberg,hydrophobic_kyte-doolittle,235,2085,80,15310,
Logistic Regression (All),100,0.7620478638989399,0.028906982674191305,0.8534327732321719,0.019939366057416585,0.9166706363698772,0.016018407144856514,0.7990943043884219,0.03253823779013953,0.7334269977204759,0.055452375442147275,0.24910970825550344,0.07703610341668676,peptide_len,X8_SY,isoelectric_point,1198,1122,3092,12298,
SVM (All),100,0.8690592268139402,0.002214901555183913,0.9299374305792242,0.0012583353422172525,0.8690521646670476,0.002194730600226877,1.0,0.0,0.7655018420411642,0.052551222456610196,0.0019504737440137348,0.019406968716999783,aliphatic_index,instability_index,isoelectric_point,1,2319,0,15390,
K-Neighbors (All),100,0.8694543896400685,0.003771910965856109,0.9300837300078819,0.002052931322553941,0.8699013433135334,0.003004165207945835,0.9992207792207793,0.0023013045645025004,0.7004303105190255,0.05096351983797587,0.03397208611754496,0.07845482393786372,aliphatic_index,instability_index,isoelectric_point,20,2300,12,15378,
Decision Tree (All),100,0.8597416365136799,0.015705231811923057,0.9225511021913533,0.008984665928116538,0.8866072594726524,0.010466303452115147,0.9617999320940497,0.017301145325710553,0.7199511264760626,0.05430169851411908,0.2079517979075788,0.10480918844599292,hydrophobic_janin,peptide_len,non-polar_group,424,1896,588,14802,
Naive Bayes (All),100,0.34511331175014276,0.037203652271470364,0.4208187559941592,0.05254921277792431,0.9041297758860732,0.03597555753135536,0.2758972073677956,0.04442875751184402,0.6714413191714981,0.06894418118570157,0.061719303941965585,0.06299650829414413,aliphatic_index,instability_index,isoelectric_point,1866,454,11144,4246,
Random Forest (MW - inCV),100,0.8733479337269091,0.013079847220755152,0.9308689173423359,0.007244458563342996,0.8853627813658842,0.008406242166032456,0.9814188099482217,0.01165513872608097,0.756466427919433,0.05169632412982196,0.24731679351207955,0.10690155710008818,X5_K,non-polar_group,polar_group,363,1957,286,15104,
Random Forest (Wilcoxon - inCV),100,0.8748149558814194,0.011886752898729619,0.9318476185585328,0.006521193690366709,0.88427314296808,0.007862673346904275,0.9849278499278499,0.010426769559755363,0.7422241090111933,0.055086800301863414,0.24754410153612771,0.10758491376337417,non-polar_group,acidic_group,hydrophobic_engleman,335,1985,232,15158,
Random Forest (Kruskal - inCV),100,0.8777534437884847,0.01016210216145686,0.9339710544686504,0.0054098978661483435,0.8801780289872119,0.007125219668494529,0.9948022239198709,0.00566452903637249,0.768235421748849,0.05317407302032239,0.23481082371316084,0.12527834905729188,hydrophobic_janin,hydrophobic_eisenberg,hydrophobic_kyte-doolittle,235,2085,80,15310,
Random Forest (Chi-square - inCV),100,0.875209483907827,0.014018828824448597,0.9318533319152913,0.0077252709509440355,0.8867126014105332,0.008812499392202721,0.9819387148798916,0.011564999806875274,0.7569838448115301,0.05047434461606255,0.2644301091174507,0.11262461912618198,peptide_len,hydrophobic_engleman,non-polar_group,388,1932,278,15112,
Random Forest (KS - inCV),100,0.8768482193867834,0.013336725154480223,0.9327426773336,0.0073853650932123645,0.8875823622355586,0.008352708413485316,0.9828461081402259,0.011495550835646287,0.7579008580814843,0.05101987700745378,0.27951017773805015,0.10293003748006181,peptide_len,hydrophobic_engleman,non-polar_group,403,1917,264,15126,
Logistic Regression (MW - inCV),100,0.702535072684568,0.0324608874104429,0.8032391260358992,0.02533478591696569,0.9422760179148173,0.016910685633643,0.700848824378236,0.03650505747657855,0.7724823415312546,0.05009502309823018,0.2934586143078526,0.06597903149037943,X5_K,non-polar_group,polar_group,1656,664,4604,10786,
Logistic Regression (Wilcoxon - inCV),100,0.7004430902050403,0.02992757635353121,0.8026538206190064,0.023367137224706205,0.9368623678198279,0.016170289856407175,0.7029301417536713,0.03454207885512421,0.7643522070664015,0.0509628301490797,0.2748700158132484,0.06251051400518563,non-polar_group,acidic_group,hydrophobic_engleman,1587,733,4572,10818,
Logistic Regression (Kruskal - inCV),100,0.7620478638989399,0.028906982674191305,0.8534327732321719,0.019939366057416585,0.9166706363698772,0.016018407144856514,0.7990943043884219,0.03253823779013953,0.7334269977204759,0.055452375442147275,0.24910970825550344,0.07703610341668676,peptide_len,X8_SY,isoelectric_point,1198,1122,3092,12298,
Logistic Regression (Chi-square - inCV),100,0.7025334856852663,0.031156507363781515,0.8032044190225391,0.024163300634736727,0.9427071822107778,0.016409256888891544,0.7004566675154911,0.034570658259402164,0.7755835267791789,0.04809718701819904,0.2947674005704732,0.06487597672977276,peptide_len,hydrophobic_engleman,non-polar_group,1662,658,4610,10780,
Logistic Regression (KS - inCV),100,0.6966057258934808,0.030065055905280653,0.7986299957692371,0.023651357734930198,0.9415966725982703,0.016207901844244598,0.6941588150411679,0.03402517779912661,0.7744820210692973,0.047414793952577965,0.2869714169869134,0.061927217694969644,peptide_len,hydrophobic_engleman,non-polar_group,1654,666,4707,10683,
SVM (MW - inCV),100,0.8749301720307244,0.009241307604787552,0.9325358094082677,0.004960035459443257,0.8777407793432477,0.006493329354682482,0.9946723537900009,0.0065195250785742825,0.6821543370312553,0.05967345501497249,0.20054593395675302,0.1182852606952624,X5_K,non-polar_group,polar_group,187,2133,82,15308,
SVM (Wilcoxon - inCV),100,0.8750422141814258,0.007727487530019827,0.9326584863885059,0.0041178184507930345,0.8771451142691834,0.005723159562524395,0.9957125880655292,0.005677937146388731,0.6759296287685035,0.06355450580116552,0.19660829252255954,0.11148573888011781,non-polar_group,acidic_group,hydrophobic_engleman,173,2147,66,15324,
SVM (Kruskal - inCV),100,0.8690592268139402,0.002214901555183913,0.9299374305792242,0.0012583353422172525,0.8690521646670476,0.002194730600226877,1.0,0.0,0.7655018420411642,0.052551222456610196,0.0019504737440137348,0.019406968716999783,peptide_len,hydrophobic_janin,hydrophobic_engleman,1,2319,0,15390,
SVM (Chi-square - inCV),100,0.8748178124801624,0.009561767060679788,0.9324407124454963,0.005163088672545651,0.8780307742309403,0.006566041409109962,0.9940879382055853,0.007060467654475773,0.678176431530012,0.06252366035543634,0.2029737542256412,0.1149096313166682,peptide_len,hydrophobic_engleman,non-polar_group,194,2126,91,15299,
SVM (KS - inCV),100,0.875439281406716,0.009346140674226532,0.9327836630172555,0.005023389180361443,0.8782825019467659,0.006591523450813994,0.9945424836601308,0.006605563895990241,0.6811482679369508,0.06348662268003685,0.20757151517332467,0.11661487231143629,peptide_len,hydrophobic_engleman,non-polar_group,198,2122,84,15306,
K-Neighbors (MW - inCV),100,0.8710328191455595,0.01340436777065466,0.9296885744564258,0.007439754498188209,0.8832716227940215,0.008077000657509133,0.9813521772345299,0.011642002757746333,0.7178839481005403,0.05216625045139041,0.2233293938114934,0.1071170314665509,X5_K,non-polar_group,polar_group,323,1997,287,15103,
K-Neighbors (Wilcoxon - inCV),100,0.8728385069510568,0.012317483706614493,0.9308002073822526,0.006700455281406353,0.8830139146453768,0.008338898532453983,0.9841469314998729,0.010035539117695745,0.7154280812017384,0.05310875744137852,0.22588661797566773,0.11698697494414749,non-polar_group,acidic_group,hydrophobic_engleman,312,2008,244,15146,
K-Neighbors (Kruskal - inCV),100,0.8694543896400685,0.003771910965856109,0.9300837300078819,0.002052931322553941,0.8699013433135334,0.003004165207945835,0.9992207792207793,0.0023013045645025004,0.7004303105190255,0.05096351983797587,0.03397208611754496,0.07845482393786372,peptide_len,hydrophobic_janin,hydrophobic_engleman,20,2300,12,15378,
K-Neighbors (Chi-square - inCV),100,0.8734044309020503,0.013580333109265465,0.9309394183061137,0.007527700164822135,0.8849597914629267,0.008494196423670771,0.9820656141244375,0.011772810488902944,0.7163483433008687,0.05529780444592628,0.24582106721900707,0.10732070870959481,peptide_len,hydrophobic_engleman,non-polar_group,354,1966,276,15114,
K-Neighbors (KS - inCV),100,0.8743658350790325,0.013524853008834877,0.9314030411532349,0.0074438924045777035,0.8861682213068698,0.008920466703707138,0.9816093710211358,0.01114453538476154,0.7115523594703581,0.053349587123183745,0.25574430211679167,0.11406002570537217,peptide_len,hydrophobic_engleman,non-polar_group,378,1942,283,15107,
Decision Tree (MW - inCV),100,0.8631282930235511,0.015502404506970066,0.9247338671125134,0.009035291589878338,0.885141386970496,0.010053419484650739,0.9683630421865718,0.01918670226277761,0.7395336163670561,0.04972079507524273,0.20734203110481925,0.10237682242410241,X5_K,non-polar_group,polar_group,383,1937,487,14903,
Decision Tree (Wilcoxon - inCV),100,0.8614317907700121,0.015856518023967668,0.9238702242697966,0.009091540397601232,0.8836825037200131,0.010162867240075951,0.9681661149308209,0.017915334114684538,0.6962456897559202,0.060556766052883695,0.19065265362537265,0.11163145004553277,non-polar_group,acidic_group,hydrophobic_engleman,356,1964,490,14900,
Decision Tree (Kruskal - inCV),100,0.8597416365136799,0.015705231811923057,0.9225511021913533,0.008984665928116538,0.8866072594726524,0.010466303452115147,0.9617999320940497,0.017301145325710553,0.7199511264760626,0.05430169851411908,0.2079517979075788,0.10480918844599292,hydrophobic_janin,peptide_len,non-polar_group,424,1896,588,14802,
Decision Tree (Chi-square - inCV),100,0.8670818256839968,0.014388714919320533,0.9267969480001829,0.008138880897160023,0.8886879501032878,0.011353420846548565,0.9686181139122314,0.016429488857576998,0.7433402427176402,0.04855872742902069,0.2400990351332563,0.1093253155631401,peptide_len,hydrophobic_engleman,non-polar_group,449,1871,483,14907,
