Model_A,Model_B,W,p_value,z,r_effect,p_adj
Random Forest (All),Logistic Regression (All),677.5,3.5233957064472736e-10,6.273800652842299,0.6273800652842298,2.0153823440878405e-07
Random Forest (All),SVM (All),2329.0,0.5003662063505103,0.6739136611147221,0.0673913661114722,1.0
Random Forest (All),K-Neighbors (All),223.5,2.5062149489578493e-15,7.913316321548885,0.7913316321548886,1.927279295748586e-12
Random Forest (All),Decision Tree (All),363.5,1.0701259000357734e-13,7.431944640771496,0.7431944640771496,7.405271228247552e-11
Random Forest (All),Naive Bayes (All),63.0,2.5576939468880457e-17,8.465174529220656,0.8465174529220656,2.4400400253311955e-14
Random Forest (All),Random Forest (MW - inCV),1308.0,2.858449157217855e-05,4.184459885588887,0.4184459885588887,0.010204663491267743
Random Forest (All),Random Forest (Wilcoxon - inCV),434.0,6.497335443025256e-13,7.189616932369681,0.7189616932369681,4.294738727839694e-10
Random Forest (All),Random Forest (Kruskal - inCV),0.0,,inf,inf,
Random Forest (All),Random Forest (Chi-square - inCV),1353.5,5.625036913179746e-05,4.028012435398688,0.4028012435398688,0.019012624766547543
Random Forest (All),Random Forest (KS - inCV),1499.5,0.0004218752800389194,3.5260073377138315,0.3526007337713831,0.1240313323314423
Random Forest (All),Logistic Regression (MW - inCV),2048.0,0.10098682509144873,-1.640088221385291,-0.1640088221385291,1.0
Random Forest (All),Logistic Regression (Wilcoxon - inCV),2154.5,0.20269775269172974,1.2739031196071648,0.12739031196071648,1.0
Random Forest (All),Logistic Regression (Kruskal - inCV),677.5,3.5233957064472736e-10,6.273800652842299,0.6273800652842298,2.0153823440878405e-07
Random Forest (All),Logistic Regression (Chi-square - inCV),1814.0,0.014499173769433136,-2.444652576415928,-0.2444652576415928,1.0
Random Forest (All),Logistic Regression (KS - inCV),1944.0,0.04575104158256545,-1.9976829707261203,-0.19976829707261204,1.0
Random Forest (All),SVM (MW - inCV),47.0,1.593120599115462e-17,8.52017525784491,0.852017525784491,1.566037548930499e-14
