Model_A,Model_B,W,p_value,z,r_effect,p_adj
Random Forest (All),Logistic Regression (All),0.0,3.895900458013434e-18,8.681789474525653,0.8681789474525653,4.007760994340263e-15
Random Forest (All),SVM (All),709.0,1.150157421832578e-09,6.087042089649236,0.6087042089649236,4.0255509764140233e-07
Random Forest (All),K-Neighbors (All),721.0,2.5402069959041173e-09,5.958848984003441,0.5958848984003441,8.585899646155916e-07
Random Forest (All),Decision Tree (All),169.0,5.4628026092279985e-16,8.100735229935745,0.8100735229935745,2.458261174152599e-13
Random Forest (All),Naive Bayes (All),0.0,3.8965598450959084e-18,8.681770230106196,0.8681770230106196,4.007760994340263e-15
Random Forest (All),Random Forest (MW - inCV),1072.0,4.434205710477829e-06,4.589917812440715,0.45899178124407153,0.0011218540447508907
Random Forest (All),Random Forest (Wilcoxon - inCV),1187.5,0.00021128526783680687,3.7051264896748872,0.3705126489674887,0.04267962410303499
Random Forest (All),Random Forest (Kruskal - inCV),0.0,,inf,inf,
Random Forest (All),Random Forest (Chi-square - inCV),1403.0,0.001759860911404472,3.1280235311889815,0.31280235311889815,0.3044559376729737
Random Forest (All),Random Forest (KS - inCV),1800.0,0.05366918677090596,1.929497043389314,0.19294970433893138,1.0
Random Forest (All),Logistic Regression (MW - inCV),0.0,3.896340037647931e-18,8.681776644898465,0.8681776644898465,4.007760994340263e-15
Random Forest (All),Logistic Regression (Wilcoxon - inCV),0.0,3.895900458013434e-18,8.681789474525653,0.8681789474525653,4.007760994340263e-15
Random Forest (All),Logistic Regression (Kruskal - inCV),0.0,3.895900458013434e-18,8.681789474525653,0.8681789474525653,4.007760994340263e-15
Random Forest (All),Logistic Regression (Chi-square - inCV),0.0,3.896340037647931e-18,8.681776644898465,0.8681776644898465,4.007760994340263e-15
Random Forest (All),Logistic Regression (KS - inCV),0.0,3.895900458013434e-18,8.681789474525653,0.8681789474525653,4.007760994340263e-15
Random Forest (All),SVM (MW - inCV),916.5,0.0007387340403123409,3.3747849100757557,0.33747849100757554,0.1403594676593448
Random Forest (All),SVM (Wilcoxon - inCV),787.0,0.004889464601129194,0.0,0.0,0.782314336180671
Random Forest (All),SVM (Kruskal - inCV),709.0,1.150157421832578e-09,6.087042089649236,0.6087042089649236,4.0255509764140233e-07
Random Forest (All),SVM (Chi-square - inCV),648.5,0.00011339090032598732,3.8599916485760195,0.38599916485760194,0.024379043570087272
Random Forest (All),SVM (KS - inCV),788.0,0.001236661522900414,0.0,0.0,0.22507239716787533
Random Forest (All),K-Neighbors (MW - inCV),732.0,3.270871309638284e-09,5.917391680565721,0.5917391680565721,1.0924710174191868e-06
Random Forest (All),K-Neighbors (Wilcoxon - inCV),921.0,2.72311730631882e-07,5.141666807126229,0.5141666807126228,7.924271361387766e-05
Random Forest (All),K-Neighbors (Kruskal - inCV),721.0,2.5402069959041173e-09,5.958848984003441,0.5958848984003441,8.585899646155916e-07
Random Forest (All),K-Neighbors (Chi-square - inCV),1129.0,4.340432804861344e-06,4.594377371356792,0.4594377371356792,0.0011068103652396427
Random Forest (All),K-Neighbors (KS - inCV),1364.0,6.553104890576306e-05,3.9919541353530352,0.3991954135353035,0.014351299710362109
Random Forest (All),Decision Tree (MW - inCV),264.0,7.595906487525934e-15,7.7741443784765005,0.7774144378476501,3.2814316026112034e-12
