Model_A,Model_B,W,p_value,z,r_effect,p_adj
Random Forest (All),Logistic Regression (All),63.0,2.9254475329620983e-08,5.545840898179817,0.7843003412969284,1.8518082883650082e-05
Random Forest (All),SVM (All),0.0,7.553512643873762e-10,6.154036838995318,0.870312236105083,5.733116096700186e-07
Random Forest (All),K-Neighbors (All),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Decision Tree (All),48.0,1.2648972427105204e-08,5.690740354182401,0.8047922188828621,8.234481050045488e-06
Random Forest (All),Naive Bayes (All),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Random Forest (MW - inCV),186.0,1.3096846606175185e-05,4.358480705880221,0.6163822525597269,0.006744876002180221
Random Forest (All),Random Forest (Wilcoxon - inCV),211.0,3.835908666400679e-05,4.117147333461603,0.5822525597269623,0.018642516118707302
Random Forest (All),Random Forest (Kruskal - inCV),213.0,4.169791843913608e-05,4.097864530436883,0.5795255595711495,0.020181792524541862
Random Forest (All),Random Forest (Chi-square - inCV),315.5,0.0018809689686911206,3.108410044839813,0.43959556428292235,0.7185301460400081
Random Forest (All),Random Forest (KS - inCV),199.0,2.3053162039977364e-05,4.233061315197595,0.598645272230933,0.011595740506108614
Random Forest (All),Logistic Regression (MW - inCV),163.5,4.745531080873585e-06,4.575734041161711,0.6471065138823141,0.0025673323147526093
Random Forest (All),Logistic Regression (Wilcoxon - inCV),197.0,2.1159180339503176e-05,4.252294022016031,0.6013651877133107,0.010685386071449103
Random Forest (All),Logistic Regression (Kruskal - inCV),303.0,0.0012420629369640987,3.229040522961095,0.45665529010238914,0.49309898597474716
Random Forest (All),Logistic Regression (Chi-square - inCV),125.0,7.523676546263388e-07,4.947334134581647,0.6996587030716723,0.0004341161367193975
Random Forest (All),Logistic Regression (KS - inCV),138.0,1.4223946331142919e-06,4.8218407809239645,0.6819112627986346,0.0008093425462420321
Random Forest (All),SVM (MW - inCV),100.0,8.970399534291573e-09,5.74912968436522,0.8130497171471046,5.9384044917010215e-06
Random Forest (All),SVM (Wilcoxon - inCV),94.0,5.310079487230723e-09,5.837151543943659,0.8254978879072175,3.6002338923424304e-06
Random Forest (All),SVM (Kruskal - inCV),173.0,1.7496796758109667e-06,4.7803756349065445,0.676047205612273,0.0009868193371573852
Random Forest (All),SVM (Chi-square - inCV),161.0,4.228138040956442e-06,4.599840868676501,0.6505157341240346,0.0023001070942803045
Random Forest (All),SVM (KS - inCV),47.0,3.863753761379485e-11,6.609210356103502,0.9346834922178285,3.029182948921516e-08
Random Forest (All),K-Neighbors (MW - inCV),45.0,1.0675360568787773e-08,5.71963423859565,0.8088784312035479,6.992361172555991e-06
Random Forest (All),K-Neighbors (Wilcoxon - inCV),44.0,1.008731019424161e-08,5.729254261217966,0.8102389078498294,6.637450107810979e-06
Random Forest (All),K-Neighbors (Kruskal - inCV),116.0,3.348859145546612e-08,5.5221450126237315,0.7809492370243427,2.116478979985459e-05
Random Forest (All),K-Neighbors (Chi-square - inCV),141.0,1.6440333412568337e-06,4.792880776233733,0.6778156996587031,0.0009288788378101111
Random Forest (All),K-Neighbors (KS - inCV),38.0,7.158030743286194e-09,5.787174270598434,0.8184300341296928,4.795880598001749e-06
Random Forest (All),Decision Tree (MW - inCV),82.0,1.7568968502246207e-09,6.018823152015437,0.8511901331105411,1.2416181725411653e-06
Random Forest (All),Decision Tree (Wilcoxon - inCV),108.0,3.197109682584731e-07,5.111440827826306,0.7228668941979522,0.00018862947127249913
Random Forest (All),Decision Tree (Kruskal - inCV),158.0,6.78354924232849e-07,4.9674601496618,0.7025049514199602,0.0003927675011308196
Random Forest (All),Decision Tree (Chi-square - inCV),99.0,8.22989321136447e-09,5.763680939364115,0.8151075753640032,5.489338771980101e-06
Random Forest (All),Decision Tree (KS - inCV),69.0,4.792291008470784e-10,6.225759375951321,0.8804553345541815,3.6708949124886203e-07
Random Forest (All),Naive Bayes (MW - inCV),107.0,1.6183291151605772e-08,5.648522247368568,0.7988216769594784,1.0438222792785723e-05
