,Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
Random Forest (All),1.0,4.616078463200957e-17,4.970437000848184e-48,2.887157735910965e-73,3.39890710775372e-22,1.2302936173657656e-66,0.09599285833432901,0.07490929825680567,0.000716657331487543,1.0,0.1638068903004006,0.0006830998036949527,0.003977895573915978,1.0,1.84580119133956e-05,7.991574973047938e-06,1.4112173571416372e-08,2.2111601252644307e-09,4.7872139715487965e-06,1.8671495323080498e-06,1.4045119719453798e-15,9.393401951762168e-14,6.531228704254902e-14,2.693902869277043e-07,1.1331487325606767e-06,2.292806676849178e-17,3.619750140452302e-13,5.6374849183883855e-11,6.6998181580195445e-09,3.9478005700881103e-13,1.2772343725754002e-15,3.159347228794324e-06,5.442754554839312e-05,0.006113491947330261,1.0,0.361516172128826,1.9130861731611494e-38,8.545281558992142e-51,9.36731318247704e-72,1.654758631880987e-74,1.0,3.9147863021357264e-25,6.348026337147866e-69,2.5812871786916235e-37,3.543510528594726e-70,1.9893780759980584e-74
Logistic Regression (All),4.616078463200957e-17,1.0,4.373302290238879e-07,3.705409390886738e-20,1.0,2.13442321427566e-16,2.0854119434432796e-05,3.0095140414060823e-05,0.005823343181274447,4.406293594497231e-09,9.36915813930467e-06,0.006113491947330261,0.0011004680979868888,2.988336603979408e-07,0.1040027060789946,0.18023192667037574,1.0,1.0,0.24205696193359566,0.4127410174557379,1.0,1.0,1.0,1.0,0.5437837050520259,1.0,1.0,1.0,1.0,1.0,1.0,0.3119872767138017,0.04856104533826758,0.0006830998036949527,2.7927381815937617e-11,2.4350609600436e-06,0.0030184770507837703,2.449746513673076e-08,2.765494469388978e-19,7.013646317230645e-21,3.0024353210254794e-16,1.0,1.1312267677366434e-17,0.007417111263172141,2.215793866965582e-18,7.793318949848936e-21
SVM (All),4.970437000848184e-48,4.373302290238879e-07,1.0,0.06453108093363326,0.0004410592351341592,1.0,6.910945051227608e-28,1.4467838373412613e-27,1.2434429665108757e-22,8.323166212212887e-35,1.374533563955246e-28,1.390641362764719e-22,2.8488308247848843e-24,1.8371882390354833e-31,1.2554559308120394e-19,5.1803498528436085e-19,4.833640064680212e-15,4.7469080999398415e-14,1.1921262468619657e-18,5.2883594039251234e-18,3.665464169801769e-08,1.239105898489525e-09,1.6931891960752997e-09,9.256264146040619e-17,1.1312267677366434e-17,7.082606904280353e-07,3.7878840699830765e-10,2.8328926529629904e-12,1.2363401095316001e-14,3.5004613219641177e-10,3.93865566761711e-08,2.3302633624201813e-18,1.8460785284120003e-20,9.989482587708507e-25,1.251570753502958e-38,9.805494961937194e-30,1.0,1.0,0.14157248117764576,0.03266645906431212,9.377106014713937e-47,0.009000430394225432,0.5437837050520259,1.0,0.30729665160994574,0.034145664283589054
K-Neighbors (All),2.887157735910965e-73,3.705409390886738e-20,0.06453108093363326,1.0,3.0160879510361057e-15,1.0,1.1316368351030045e-48,2.885733015871095e-48,6.369896399869547e-42,2.569533718995516e-57,1.4734938321482955e-49,7.372398776867062e-42,4.750082412059708e-44,3.622269351825536e-53,5.914654667211217e-38,3.9127164675046224e-37,9.58104654811193e-32,2.266325323157735e-30,1.1871895863571764e-36,8.763727931307392e-36,8.250745157130006e-22,5.085456108554953e-24,8.065408218386782e-24,4.206247581701578e-34,2.4451894337357e-35,7.799929301997384e-20,8.902378608842346e-25,7.343615667009564e-28,3.510005892600231e-31,7.93270452861535e-25,9.21066801649737e-22,2.9179434079644948e-36,4.631323603480583e-39,1.225869582682565e-44,5.314273057313118e-62,5.3007862239991356e-51,3.0095140414060823e-05,0.32395639011317,1.0,1.0,9.36731318247704e-72,6.694476067445044e-13,1.0,9.65799425234819e-06,1.0,1.0
Decision Tree (All),3.39890710775372e-22,1.0,0.0004410592351341592,3.0160879510361057e-15,1.0,6.1182681663583594e-12,1.0120473798701946e-08,1.5716626886132952e-08,1.1659629592810654e-05,4.305065289272103e-13,3.7839978534512534e-09,1.2383985848759827e-05,1.3838796359475609e-06,6.116069039715846e-11,0.0004782491916355009,0.000988324722485671,0.07968825942356912,0.21165955761528604,0.0015090335473355355,0.0031677278962501595,1.0,1.0,1.0,0.012603534744330817,0.004567693897087693,1.0,1.0,1.0,0.12042508959968881,1.0,1.0,0.0021076297333257016,0.00017362036603384202,7.573544318139889e-07,1.2187789493930327e-15,7.435719772437525e-10,0.399897408347063,4.301999520786661e-05,1.7949656864416523e-14,6.864834787577547e-16,2.7769118710748616e-21,1.0,4.700842623465315e-13,0.7751942800046429,1.1257591206932221e-13,7.544036942360997e-16
Naive Bayes (All),1.2302936173657656e-66,2.13442321427566e-16,1.0,1.0,6.1182681663583594e-12,1.0,4.467508158754855e-43,1.0831850249199952e-42,1.1097865781675772e-36,2.5846340694107387e-51,6.408182777985502e-44,1.269954393976361e-36,1.0866753653044222e-38,2.3446504453566044e-47,6.06524670172076e-33,3.6036744807118784e-32,4.098690181769795e-27,7.905844766799848e-26,1.021736822721625e-31,6.689120474485286e-31,6.481593060427978e-18,5.98450668831446e-20,9.131288176795544e-20,2.5342654467774143e-29,1.754530024277079e-30,4.2235213544005906e-16,1.2020405191301639e-20,1.7009075206115595e-23,1.381101958137736e-26,1.0794893356891758e-20,7.169684564111071e-18,2.3814741583169944e-31,5.502543699488484e-34,3.017987216877663e-39,8.448205010468778e-56,2.7029102428333435e-45,0.0032449376277636677,1.0,1.0,1.0,3.530479708243945e-65,7.724988123357668e-10,1.0,0.0012560503443232295,1.0,1.0
Random Forest (MW - inCV),0.09599285833432901,2.0854119434432796e-05,6.910945051227608e-28,1.1316368351030045e-48,1.0120473798701946e-08,4.467508158754855e-43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.912626249131269,0.3873861342984058,1.0,1.0,0.00016435383092594258,0.0019021872935051777,0.0015472000625382707,1.0,1.0,1.3575814147835032e-05,0.004065492983216796,0.06324432496807582,0.6493704794111863,0.00425462061838866,0.00015527682675088141,1.0,1.0,1.0,1.0,1.0,1.9462918693268995e-20,4.2924929720816835e-30,2.1721240295778829e-47,9.959254080334776e-50,0.20456148248171876,9.978163817307718e-11,5.342086719695066e-45,1.3944978162924916e-19,4.698831018379635e-46,1.1640065288643039e-49
Random Forest (Wilcoxon - inCV),0.07490929825680567,3.0095140414060823e-05,1.4467838373412613e-27,2.885733015871095e-48,1.5716626886132952e-08,1.0831850249199952e-42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4800213588012001,1.0,1.0,0.00023053176182831462,0.0025837555781982914,0.0021076297333257016,1.0,1.0,1.9620684763861294e-05,0.005429340324212033,0.08109612682395508,0.8024267259016998,0.00568911962902442,0.0002179558483470177,1.0,1.0,1.0,1.0,1.0,3.705409390886738e-20,9.21143394999096e-30,5.476925683885762e-47,2.5505470895847826e-49,0.1638068903004006,1.6285851149688211e-10,1.3207209220381346e-44,2.626694665704315e-19,1.1731538888902518e-45,2.9823898265002284e-49
Random Forest (Kruskal - inCV),0.000716657331487543,0.005823343181274447,1.2434429665108757e-22,6.369896399869547e-42,1.1659629592810654e-05,1.1097865781675772e-36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.030660003818351676,0.20084698296855868,0.17365405628842825,1.0,1.0,0.004163292521357362,0.35529213424436623,1.0,1.0,0.3678363622929604,0.029386366266212233,1.0,1.0,1.0,0.49640090235548495,1.0,6.864834787577547e-16,1.1900502476909449e-24,1.0223280523279003e-40,6.4742146332475055e-43,0.0019497509005242213,2.347515557932466e-07,1.7838425870258555e-38,4.008395430160154e-15,1.830814845080073e-39,7.50402099909867e-43
Random Forest (Chi-square - inCV),1.0,4.406293594497231e-09,8.323166212212887e-35,2.569533718995516e-57,4.305065289272103e-13,2.5846340694107387e-51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49640090235548495,0.30729665160994574,0.005557804811081066,0.0016294883102484822,0.22462289509790573,0.12813563325062627,5.8223613183498145e-08,1.3400994764136004e-06,1.026646139231931e-06,0.037997197089100807,0.094135198160937,2.578926372496416e-09,3.5931440864893695e-06,0.00013108956498592675,0.003411589292415877,3.824816771971424e-06,5.430714865778439e-08,0.17691546417997553,0.926963242042324,1.0,1.0,1.0,1.5573103871270842e-26,3.178377290115655e-37,6.072179776430266e-56,1.907722559940392e-58,1.0,1.8715614070838464e-15,2.2270140083692793e-53,1.43224224919211e-25,1.6379538304733535e-54,2.2557715199122377e-58
