Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
0.9306930693069307,0.9131832797427653,0.927710843373494,0.0,0.865979381443299,0.9096774193548387,0.9185667752442996,0.9180327868852459,0.9,0.9013157894736842,0.9078947368421053,0.8843537414965986,0.8741258741258742,0.8131868131868132,0.8175182481751825,0.8375451263537906,0.8888888888888888,0.8835616438356164,0.852112676056338,0.8581314878892734,0.8650519031141869,0.8118081180811808,0.8131868131868132,0.8118081180811808,0.8260869565217391,0.8088235294117647,0.8273381294964028,0.8357142857142857,0.8758620689655172,0.8327402135231317,0.8368794326241135,0.8489208633093526,0.8447653429602888,0.8148148148148148,0.8701754385964913,0.8405797101449275,0.9161290322580645,0.9305135951661632,0.012903225806451613,0.8373702422145328,0.9250814332247557,0.9161290322580645,0.0,0.9090909090909091,0.012903225806451613,0.8373702422145328
0.9049180327868852,0.9182389937106918,0.9272727272727272,0.0,0.8368794326241135,0.8664495114006515,0.8888888888888888,0.8940397350993378,0.87248322147651,0.8996763754045307,0.8961038961038961,0.8561643835616438,0.8611111111111112,0.8029739776951673,0.8896321070234113,0.8650519031141869,0.8947368421052632,0.8859060402684564,0.7896678966789668,0.9061488673139159,0.8976897689768977,0.7912087912087912,0.7927272727272727,0.7615384615384615,0.8357142857142857,0.7822878228782287,0.8591065292096219,0.8391608391608392,0.8327402135231317,0.8745762711864407,0.8762541806020067,0.8172043010752689,0.8014440433212996,0.7727272727272727,0.8129496402877698,0.8218181818181818,0.8996763754045307,0.9207317073170732,0.050314465408805034,0.8282828282828283,0.9019607843137255,0.9171974522292994,0.012903225806451613,0.8990228013029316,0.050314465408805034,0.842809364548495
0.9090909090909091,0.9003215434083601,0.9333333333333333,0.0,0.8976897689768977,0.8758169934640523,0.9078947368421053,0.9150326797385621,0.8837209302325582,0.9180327868852459,0.9155844155844156,0.8531468531468531,0.8531468531468531,0.7559055118110236,0.8469750889679716,0.8368794326241135,0.8775510204081632,0.8775510204081632,0.7739463601532567,0.8689655172413793,0.8737201365187713,0.8205128205128205,0.8205128205128205,0.7692307692307693,0.8115942028985508,0.8131868131868132,0.8113879003558719,0.8113879003558719,0.8933333333333333,0.8280701754385965,0.8197879858657244,0.8368794326241135,0.8368794326241135,0.7615384615384615,0.8260869565217391,0.8205128205128205,0.881578947368421,0.9296636085626911,0.03821656050955414,0.835016835016835,0.9090909090909091,0.9038461538461539,0.02564102564102564,0.9019607843137255,0.6527196652719666,0.7443609022556391
0.9276315789473685,0.9022082018927445,0.9305135951661632,0.0,0.8188405797101449,0.9049180327868852,0.9102990033222591,0.9060402684563759,0.9096989966555183,0.9169435215946844,0.9108910891089109,0.8972602739726028,0.9023569023569024,0.8118081180811808,0.912751677852349,0.8843537414965986,0.8949152542372881,0.9144736842105263,0.7894736842105263,0.9108910891089109,0.8805460750853242,0.8074074074074075,0.8290909090909091,0.8044280442804428,0.8178438661710037,0.8118081180811808,0.8621908127208481,0.8581560283687943,0.8671328671328671,0.8788927335640139,0.8118081180811808,0.8290909090909091,0.8205128205128205,0.7709923664122137,0.8205128205128205,0.8161764705882353,0.9003215434083601,0.9361702127659575,0.0625,0.868421052631579,0.9276315789473685,0.9235668789808917,0.02564102564102564,0.9038461538461539,0.050314465408805034,0.8609271523178808
0.8542372881355932,0.9201277955271565,0.9305135951661632,0.0,0.8083623693379791,0.8961038961038961,0.8837209302325582,0.87248322147651,0.8837209302325582,0.86,0.8657718120805369,0.8309859154929577,0.8309859154929577,0.8129496402877698,0.8541666666666666,0.8442906574394463,0.8561643835616438,0.8561643835616438,0.8512110726643599,0.8648648648648649,0.8610169491525423,0.7611940298507462,0.7611940298507462,0.7822878228782287,0.7912087912087912,0.7806691449814126,0.8503401360544217,0.8503401360544217,0.823943661971831,0.8406779661016949,0.8384879725085911,0.7867647058823529,0.7867647058823529,0.7927272727272727,0.7985347985347986,0.7883211678832117,0.9019607843137255,0.9292307692307692,0.012903225806451613,0.8210526315789474,0.8807947019867549,0.9201277955271565,0.03821656050955414,0.8918032786885246,0.0,0.8704318936877077
0.8881578947368421,0.9171974522292994,0.9305135951661632,0.0,0.8541666666666666,0.8961038961038961,0.8947368421052632,0.8940397350993378,0.8866666666666667,0.8903654485049833,0.8947368421052632,0.8745762711864407,0.8783783783783784,0.7756653992395437,0.865979381443299,0.8677966101694915,0.898360655737705,0.8940397350993378,0.8218181818181818,0.8791946308724832,0.882943143812709,0.7822878228782287,0.7806691449814126,0.7651515151515151,0.8129496402877698,0.7883211678832117,0.8432055749128919,0.7806691449814126,0.8501742160278746,0.845360824742268,0.8571428571428571,0.8315412186379928,0.8368794326241135,0.7894736842105263,0.8248175182481752,0.8158844765342961,0.8954248366013072,0.9292307692307692,0.050314465408805034,0.8762541806020067,0.9096774193548387,0.9131832797427653,0.012903225806451613,0.9067524115755627,0.17543859649122806,0.8532423208191127
0.8940397350993378,0.9182389937106918,0.9305135951661632,0.012903225806451613,0.845360824742268,0.9079365079365079,0.8807947019867549,0.8807947019867549,0.87248322147651,0.8844884488448845,0.8947368421052632,0.8402777777777778,0.8424657534246576,0.7878787878787878,0.8482758620689655,0.8402777777777778,0.8695652173913043,0.8610169491525423,0.8088235294117647,0.8762541806020067,0.8373702422145328,0.7896678966789668,0.7910447761194029,0.8290909090909091,0.8142857142857143,0.7480916030534351,0.8350877192982457,0.8309859154929577,0.8172043010752689,0.7956204379562044,0.86,0.8072727272727273,0.8072727272727273,0.7878787878787878,0.8102189781021898,0.8,0.9096774193548387,0.9263803680981595,0.075,0.8831168831168831,0.9025974025974026,0.9044585987261147,0.05063291139240506,0.9096774193548387,0.05063291139240506,0.8831168831168831
0.9155844155844156,0.9148264984227129,0.9305135951661632,0.0,0.8754208754208754,0.9073482428115016,0.922077922077922,0.9055374592833876,0.8859060402684564,0.9049180327868852,0.9055374592833876,0.872852233676976,0.8707482993197279,0.7865168539325843,0.8611111111111112,0.8591065292096219,0.8888888888888888,0.8813559322033898,0.7803030303030303,0.8933333333333333,0.8791946308724832,0.8145454545454546,0.8044280442804428,0.7739463601532567,0.8231046931407943,0.8088235294117647,0.8368794326241135,0.8620689655172413,0.872852233676976,0.8689655172413793,0.8620689655172413,0.8,0.7971014492753623,0.7790262172284644,0.7970479704797048,0.7955390334572491,0.9061488673139159,0.9300911854103343,0.050314465408805034,0.8619528619528619,0.912621359223301,0.9061488673139159,0.012903225806451613,0.9067524115755627,0.06289308176100629,0.8695652173913043
0.9150326797385621,0.9171974522292994,0.9305135951661632,0.0,0.8368794326241135,0.896774193548387,0.9006622516556292,0.9,0.8767123287671232,0.882943143812709,0.8940397350993378,0.8297872340425532,0.8491228070175438,0.7651515151515151,0.8461538461538461,0.8357142857142857,0.8813559322033898,0.872852233676976,0.8029739776951673,0.8668941979522184,0.863013698630137,0.8145454545454546,0.7910447761194029,0.8248175182481752,0.7912087912087912,0.8058608058608059,0.8043478260869565,0.7970479704797048,0.8273381294964028,0.8029197080291971,0.8273381294964028,0.7773584905660378,0.8,0.7413127413127413,0.7633587786259542,0.7849056603773585,0.9055374592833876,0.9329268292682927,0.06289308176100629,0.8733333333333333,0.9120521172638436,0.910828025477707,0.02564102564102564,0.8954248366013072,0.05063291139240506,0.8704318936877077
0.9240924092409241,0.9265175718849841,0.9272727272727272,0.0,0.8290909090909091,0.926984126984127,0.9245901639344263,0.9245901639344263,0.8918032786885246,0.9174917491749175,0.9150326797385621,0.891156462585034,0.891156462585034,0.8296296296296296,0.8927335640138409,0.896551724137931,0.903010033444816,0.903010033444816,0.851985559566787,0.912751677852349,0.9133333333333333,0.8436363636363636,0.8436363636363636,0.7984790874524715,0.8222222222222222,0.8308823529411765,0.856140350877193,0.856140350877193,0.9108910891089109,0.8357142857142857,0.8297872340425532,0.8405797101449275,0.8405797101449275,0.8252788104089219,0.8339483394833949,0.8296296296296296,0.8933333333333333,0.9300911854103343,0.07453416149068323,0.8807947019867549,0.9271523178807947,0.9274447949526814,0.02564102564102564,0.8925081433224755,0.6995884773662552,0.7925925925925926
