Classifier,CV_Folds,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AUC_ROC_Mean,AUC_ROC_Std,MCC_Mean,MCC_Std,Top_Feature_1,Top_Feature_2,Top_Feature_3,True_Negative,False_Positive,False_Negative,True_Positive,Selected_Features_Count
Random Forest (All),100,0.8350031739986034,0.02507096427802147,0.9037126200794231,0.015461325885046218,0.9158446204999018,0.01465994432736109,0.8923266276207454,0.02523786129858006,0.7641690447588786,0.05833050666479507,0.3259672132301877,0.09199323026216298,acidic_group,non-polar_group,X5_K,1055,1265,1657,13733,
Logistic Regression (All),100,0.8560686853297788,0.02037492303350287,0.9188902071193314,0.011733779169503201,0.9001713204718591,0.01327448004965046,0.9386635260164674,0.018278601085976516,0.7091949262137881,0.060047393609754515,0.28448369211210944,0.10797134222272668,peptide_len,X5_K,X5_N,715,1605,944,14446,
SVM (All),100,0.8688332381133751,0.0030840012351810056,0.9297821077741273,0.0017223439839324313,0.8692744535363705,0.0024897626624472567,0.9993502249384602,0.002154807977135971,0.6511231399674494,0.06478582398878636,0.010388469314706479,0.048791799164952084,aliphatic_index,instability_index,isoelectric_point,7,2313,10,15380,
K-Neighbors (All),100,0.1318447279883197,0.0030508896584402756,0.0021960620025136155,0.004852446799355996,0.17,0.375632799419859,0.0011051693404634582,0.002441996483464521,0.5823307025928508,0.046050412815885025,0.0011202146190043018,0.029781461208509802,aliphatic_index,instability_index,isoelectric_point,2318,2,15373,17,
Decision Tree (All),100,0.7492804545166,0.043438520199299564,0.8446169549523129,0.031452458316973964,0.9102405764080663,0.017268026671364733,0.7898688566335624,0.05499060170814667,0.6972744180017197,0.058309402172633425,0.21414370246754028,0.08606497718808509,X5_K,acidic_group,non-polar_group,1114,1206,3234,12156,
Naive Bayes (All),100,0.8236561289913034,0.023370024720202737,0.8988756543967488,0.014047485501302807,0.8952454094361245,0.012734660237464453,0.9028677531618708,0.023114022930237437,0.6049751030737284,0.04931965343826799,0.20641531026491428,0.09663350819772823,aliphatic_index,instability_index,isoelectric_point,692,1628,1495,13895,
Random Forest (MW - inCV),100,0.8304345204088109,0.025626988969373574,0.9012163013698471,0.015630570560825584,0.9117364885661694,0.014002819566087187,0.8912970036499448,0.02474827910140428,0.7462194646194006,0.05725162918213314,0.3016321772365144,0.09287866675251025,hydrophobic_janin,hydrophobic_eisenberg,X5_K,990,1330,1673,13717,
Random Forest (Wilcoxon - inCV),100,0.8284539452802642,0.02503961276380503,0.8998045163532538,0.015547022683420106,0.9125894990409888,0.014053730652283748,0.887850776674306,0.026484278517321998,0.7442488204109048,0.05072642563115603,0.3020610632578425,0.08949632798193093,hydrophobic_janin,X5_K,boman,1008,1312,1726,13664,
Random Forest (Kruskal - inCV),100,0.8092017393512346,0.02593678915439289,0.8863536218070884,0.016667901323590795,0.9174712516380784,0.014447644035042374,0.8578359222476868,0.028418133150136204,0.7384395501722868,0.051831869050265086,0.2991445452223702,0.08070087726787427,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,1129,1191,2188,13202,
Random Forest (Chi-square - inCV),100,0.8239395670665906,0.026401472603648973,0.8970681593777912,0.016226463513757873,0.9107735214524815,0.014842893913268798,0.884209320091673,0.02636272286202988,0.7494254212444751,0.05517010745770575,0.28791958630571673,0.0942237960680162,hydrophobic_janin,hydrophobic_kyte-doolittle,hydrophobic_eisenberg,984,1336,1782,13608,
Random Forest (KS - inCV),100,0.8248993842442709,0.022536669965255468,0.8980515319002869,0.013832164483268572,0.9082086137730491,0.013424076395892893,0.8884997029114675,0.02316426802581647,0.743517041533346,0.056692087591401416,0.27591587183710437,0.08675443301502847,hydrophobic_janin,hydrophobic_kyte-doolittle,X5_K,935,1385,1716,13674,
Logistic Regression (MW - inCV),100,0.7854891131847903,0.030902127920809555,0.8696209096284313,0.020771719998265225,0.919462527191227,0.014597536769993032,0.8256722689075631,0.034896787633525196,0.7432314974738248,0.05648504317893239,0.28253966168809286,0.07848420851796296,hydrophobic_janin,hydrophobic_eisenberg,X5_K,1204,1116,2683,12707,
