Model_A,Model_B,W,p_value,z,r_effect,p_adj
Random Forest (All),Logistic Regression (All),484.0,2.256609459115412e-12,-7.017631376181306,-0.7017631376181306,5.686655836970839e-10
Random Forest (All),SVM (All),15.0,6.108357597355742e-18,-8.630501454257377,-0.8630501454257378,3.999442607232758e-15
Random Forest (All),K-Neighbors (All),0.0,3.8853646391776985e-18,8.68209740264247,0.8682097402642469,3.999442607232758e-15
Random Forest (All),Decision Tree (All),20.0,7.11668231406785e-18,8.613010097216101,0.8613010097216101,3.999442607232758e-15
Random Forest (All),Naive Bayes (All),1668.0,0.003212424003975313,2.9466443909706976,0.29466443909706974,0.31160512838560533
Random Forest (All),Random Forest (MW - inCV),1823.5,0.022969944342071048,2.273934178439555,0.22739341784395548,1.0
Random Forest (All),Random Forest (Wilcoxon - inCV),1498.5,0.0015817184777633519,3.1592571743680695,0.315925717436807,0.16608044016515194
Random Forest (All),Random Forest (Kruskal - inCV),386.0,1.9153290110443258e-13,7.354576840474121,0.7354576840474121,5.362921230924112e-11
Random Forest (All),Random Forest (Chi-square - inCV),1085.0,2.032507885304839e-06,4.750164951515382,0.4750164951515382,0.00027845358028676294
Random Forest (All),Random Forest (KS - inCV),877.0,1.9113271243220344e-07,5.207761168809935,0.5207761168809935,2.9625570426991532e-05
Random Forest (All),Logistic Regression (MW - inCV),28.0,9.044445868078013e-18,8.585497134485216,0.8585497134485216,4.377270240181537e-15
Random Forest (All),Logistic Regression (Wilcoxon - inCV),9.0,5.11254534956045e-18,8.650831698441399,0.8650831698441399,3.999442607232758e-15
Random Forest (All),Logistic Regression (Kruskal - inCV),0.0,3.8965598450959084e-18,8.681770230106196,0.8681770230106196,3.999442607232758e-15
Random Forest (All),Logistic Regression (Chi-square - inCV),12.0,5.596247901468035e-18,8.64051033198292,0.864051033198292,3.999442607232758e-15
Random Forest (All),Logistic Regression (KS - inCV),1.0,4.0161556854627e-18,8.67833190526259,0.8678331905262591,3.999442607232758e-15
Random Forest (All),SVM (MW - inCV),196.0,1.8003591654603517e-15,7.954376460543865,0.7954376460543865,6.049206795946782e-13
Random Forest (All),SVM (Wilcoxon - inCV),212.0,4.374133392281619e-15,7.843713817270764,0.7843713817270764,1.4084709523146815e-12
Random Forest (All),SVM (Kruskal - inCV),0.0,3.8965598450959084e-18,8.681770230106196,0.8681770230106196,3.999442607232758e-15
Random Forest (All),SVM (Chi-square - inCV),257.0,9.827495161865996e-15,7.74146862197731,0.774146862197731,3.0760059856640565e-12
Random Forest (All),SVM (KS - inCV),15.0,6.12472726248735e-18,8.630195357452102,0.8630195357452102,3.999442607232758e-15
Random Forest (All),K-Neighbors (MW - inCV),0.0,3.896340037647931e-18,8.681776644898465,0.8681776644898465,3.999442607232758e-15
Random Forest (All),K-Neighbors (Wilcoxon - inCV),0.0,3.8965598450959084e-18,8.681770230106196,0.8681770230106196,3.999442607232758e-15
Random Forest (All),K-Neighbors (Kruskal - inCV),0.0,3.8965598450959084e-18,8.681770230106196,0.8681770230106196,3.999442607232758e-15
Random Forest (All),K-Neighbors (Chi-square - inCV),0.0,3.8965598450959084e-18,8.681770230106196,0.8681770230106196,3.999442607232758e-15
Random Forest (All),K-Neighbors (KS - inCV),0.0,3.8965598450959084e-18,8.681770230106196,0.8681770230106196,3.999442607232758e-15
