,Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
Random Forest (All),1.0,1.117233431135735e-07,9.192649708505289e-20,0.0,6.288997272631934e-144,0.1338553422984637,1.0,1.0,1.2746199653514067e-21,0.0013600944761993556,0.011737712455040182,1.1650905298795626e-69,1.4699466072422256e-79,0.0,4.3407436381760086e-82,2.6697923582321454e-131,6.665094629194194e-26,3.4289712990904655e-29,1.4926319679230538e-253,1.5304307062108755e-27,1.302581903239234e-60,3.607717550628885e-303,0.0,0.0,8.313642027656289e-263,0.0,4.0468500354055596e-109,9.551976795890347e-118,5.3088518999729e-144,1.0835710384534232e-139,3.882689444415295e-142,5.235210260316059e-254,1.3052539314970185e-261,0.0,2.337448354228518e-240,7.4416987469109215e-295,0.18843292200174694,6.8424397309460564e-18,0.0,1.3218366827224095e-111,1.0,0.03648355383107453,0.0,0.4663778192640214,0.0,5.067991022547903e-118
Logistic Regression (All),1.117233431135735e-07,1.0,0.04675292904950524,0.0,8.92514874452788e-211,1.8681793982172835e-18,3.708570345791529e-12,1.4120106094990378e-15,6.989020064280127e-56,1.56176242627399e-23,2.6789894283378877e-21,8.90266009496916e-122,3.381853461346195e-134,0.0,2.4575323805758567e-137,3.4670151108040727e-196,2.2116793308811384e-62,3.010257621781473e-67,0.0,8.070528190145018e-65,3.427126913768644e-110,0.0,0.0,0.0,0.0,0.0,4.148793974614214e-170,2.501861234255162e-180,7.3320312080195095e-211,6.629024394180174e-206,1.0148198220842239e-208,0.0,0.0,0.0,0.0,0.0,5.589289223960641e-18,0.19911409969294477,0.0,4.619495058727172e-173,0.02717639840116553,0.8703011203450883,0.0,8.670999742822042e-17,0.0,1.1834234179461716e-180
SVM (All),9.192649708505289e-20,0.04675292904950524,1.0,0.0,6.470930830452745e-253,3.0804493353790223e-35,1.8070934855293952e-26,2.636697575107557e-31,6.506586226130857e-82,5.5596714647071276e-42,4.7415000168021454e-39,7.477136699338695e-157,1.6590787023384343e-170,0.0,6.055885588225801e-174,2.0948897514999532e-237,1.3996716841272664e-89,2.9352093862328204e-95,0.0,1.9787256595580744e-92,5.3088518999729e-144,0.0,0.0,0.0,0.0,0.0,1.7224065490721368e-209,1.8280981653712526e-220,5.25244195053661e-253,9.671963604236184e-248,9.869408807574872e-251,0.0,0.0,0.0,0.0,0.0,1.3558854451655992e-34,1.0,0.0,1.147900910375129e-212,1.0174393982694573e-10,1.6603628712740913e-07,0.0,5.7410909868607306e-33,0.0,8.194511208516815e-221
K-Neighbors (All),0.0,0.0,0.0,1.0,2.6394461763068168e-166,0.0,0.0,0.0,0.0,0.0,0.0,5.275441659052599e-264,4.21030020946452e-248,5.356712907529683e-32,3.19938991393686e-244,4.383498192640662e-180,0.0,0.0,4.4118156347516296e-76,0.0,9.885036595446117e-280,2.0004571964066366e-48,2.004376520509459e-44,8.540287800674712e-34,2.2186509010736303e-70,1.0340496894839978e-28,1.1343441527445433e-206,6.178727587239618e-196,3.161808883413369e-166,7.977951096048675e-171,3.3349397395556792e-168,8.533456005957814e-76,4.210172229509711e-71,7.818103125205593e-18,1.1821814001945103e-84,1.4193523318280214e-52,0.0,0.0,0.1781707866984095,1.593456319753554e-203,0.0,0.0,1.0,0.0,0.1781707866984095,1.3350755640670802e-195
Decision Tree (All),6.288997272631934e-144,8.92514874452788e-211,6.470930830452745e-253,2.6394461763068168e-166,1.0,5.036522483518866e-113,3.8152209318853595e-129,6.80422519440435e-120,1.537596826033665e-57,2.1907446181918213e-102,7.449031669243395e-107,7.564927707671384e-15,1.7059956805158088e-10,1.7247515793713948e-57,1.5660655740217896e-09,1.0,2.8590622824602477e-51,5.514594666653618e-47,5.613833508771825e-20,4.410574899220382e-49,9.804037208639068e-20,1.4690490175586906e-39,2.3863754569582624e-43,3.500685140646181e-55,3.1300610096941045e-23,5.808140956682391e-62,0.030934500054424458,0.5996851353290269,1.0,1.0,1.0,3.938610713398691e-20,8.465767749709281e-23,3.3515569992357234e-80,1.1042371439941368e-15,6.26844819233055e-36,4.108224553123163e-114,2.7355363227428514e-247,2.0569742358282157e-134,0.08021411402379998,1.0352273053356624e-169,7.096342497129005e-182,1.4146721547189197e-149,6.392210001490322e-117,2.0569742358282157e-134,0.6412584212786199
Naive Bayes (All),0.1338553422984637,1.8681793982172835e-18,3.0804493353790223e-35,0.0,5.036522483518866e-113,1.0,1.0,1.0,8.13752440669449e-10,1.0,1.0,1.2413851351597376e-47,4.951407432276192e-56,1.7682381346078411e-298,3.379255671471154e-58,1.3238204842082094e-101,7.795886213088866e-13,3.1949542724482862e-15,4.406131916807078e-215,5.06970196255447e-14,4.507130779752979e-40,1.940423836838075e-262,1.7349423789212768e-270,4.294611725898023e-294,7.155047742829947e-224,8.071320485206904e-307,8.536227329199182e-82,1.85617164412951e-89,4.313594519675415e-113,3.4738808878398854e-109,2.1051937848117084e-111,1.6307927132754676e-215,9.824580151288713e-223,0.0,1.3634329331530184e-202,1.83296544720235e-254,1.0,8.958880289206848e-33,0.0,5.401491497888199e-84,1.7608461875469346e-06,1.6317019125813342e-09,0.0,1.0,0.0,1.0552630382797207e-89
Random Forest (MW - inCV),1.0,3.708570345791529e-12,1.8070934855293952e-26,0.0,3.8152209318853595e-129,1.0,1.0,1.0,1.4120106094990378e-15,0.3422315469290289,1.0,6.546248383879098e-59,4.035668235530062e-68,0.0,1.724196604628918e-70,4.66815416963468e-117,2.8509404866666597e-19,3.861092553550086e-22,2.3556860938601226e-235,1.071296087051763e-20,1.5039451195307773e-50,5.8032937628854e-284,3.4153698139953207e-292,0.0,2.1174458440566117e-244,0.0,5.9495820429732995e-96,3.777499807477601e-104,3.2392806841727674e-129,4.3765116321030875e-125,1.9793375952837504e-127,8.45348240004912e-236,3.1291659513469627e-243,0.0,1.7959758706345657e-222,8.476570254272072e-276,1.0,2.6057723427706665e-24,0.0,2.587388327924936e-98,0.00853329616054248,4.538752362465387e-05,0.0,1.0,0.0,2.0647293820974438e-104
Random Forest (Wilcoxon - inCV),1.0,1.4120106094990378e-15,2.636697575107557e-31,0.0,6.80422519440435e-120,1.0,1.0,1.0,3.708570345791529e-12,1.0,1.0,2.2196047653176772e-52,3.9789647160117154e-61,4.52522547302223e-308,2.2034346319777332e-63,3.479006480597822e-108,1.8037851920860904e-15,4.580998601100947e-18,8.744618044957177e-224,9.23147159590722e-17,1.810524999061952e-44,1.0741418498460035e-271,7.972792851619521e-280,1.196091129634495e-303,1.0941418926473541e-232,0.0,8.392878917315981e-88,1.063975505042754e-95,5.8052515979611794e-120,5.865923337705089e-116,3.151809306545568e-118,3.1982401279190376e-224,1.5528701306944168e-231,0.0,4.064209321258887e-211,1.231288635040826e-263,1.0,5.72017398988524e-29,0.0,4.517766307463438e-90,9.658872467717045e-05,1.8965534839576945e-07,0.0,1.0,0.0,5.9495820429732995e-96
Random Forest (Kruskal - inCV),1.2746199653514067e-21,6.989020064280127e-56,6.506586226130857e-82,0.0,1.537596826033665e-57,8.13752440669449e-10,1.4120106094990378e-15,3.708570345791529e-12,1.0,1.4334857204582251e-06,7.011986180675156e-08,1.1113477177275235e-13,1.5214424539296662e-18,1.5773040871276528e-213,7.435875488354726e-20,3.9739841336137096e-49,1.0,1.0,4.628229329513767e-140,1.0,1.2867516588229953e-09,2.640460030252536e-181,1.9021016749702598e-188,1.4155468143912376e-209,1.315823567196238e-147,4.489326683685306e-221,3.6939412065180115e-35,1.8481816595743066e-40,1.370680647978823e-57,1.0971830768642386e-54,2.4820146564042187e-56,1.975111325401254e-140,1.2544835823939786e-146,2.805522825508339e-250,1.9760697771586742e-129,2.8924722198345345e-174,3.590546533397554e-10,2.810198337468379e-78,0.0,1.1591354418533413e-36,1.229631428912546e-33,7.365555677190675e-40,0.0,4.023637690228116e-11,0.0,1.2489607859246286e-40
Random Forest (Chi-square - inCV),0.0013600944761993556,1.56176242627399e-23,5.5596714647071276e-42,0.0,2.1907446181918213e-102,1.0,0.3422315469290289,1.0,1.4334857204582251e-06,1.0,1.0,1.8481816595743066e-40,2.754830106817234e-48,2.64723082415853e-283,2.599189882541946e-50,1.9669045111355273e-91,4.12234942255755e-09,3.825452334487831e-11,2.083542273832552e-201,4.1890634544728086e-10,1.7690047319584666e-33,7.86118021438128e-248,9.654530996039916e-256,5.560136377066345e-279,5.277996623192928e-210,1.5770246444208148e-291,1.4737140497777952e-72,7.507872287450938e-80,1.888225159692919e-102,1.06906701391681e-98,7.940137350224288e-101,7.872611402536937e-202,6.848788341176135e-209,0.0,3.4332752125975386e-189,5.331992392741254e-240,1.0,2.634419701926962e-39,0.0,1.186104189292341e-74,1.050831402557562e-09,2.552382696653798e-13,0.0,1.0,0.0,4.377785283442981e-80
